date,open,high,low,close
2016-07-07,4.01,4.05,3.99,4.03
2016-07-06,4.0,4.09,3.97,4.05
2016-07-05,3.97,4.04,3.95,4.0
2016-07-04,3.89,3.98,3.87,3.97
2016-07-01,3.89,3.92,3.87,3.9
2016-06-30,3.93,3.94,3.89,3.89
2016-06-29,3.92,3.95,3.9,3.93
2016-06-28,3.9,3.95,3.86,3.93
2016-06-27,3.85,3.92,3.83,3.91
2016-06-24,4.0,4.0,3.8,3.88
2016-06-23,3.88,4.01,3.84,4.0
2016-06-22,3.77,3.97,3.76,3.91
2016-06-21,3.77,3.8,3.75,3.77
2016-06-20,3.78,3.79,3.72,3.76
2016-06-17,3.79,3.8,3.77,3.77
2016-06-16,3.83,3.83,3.75,3.77
2016-06-15,3.76,3.85,3.72,3.85
2016-06-14,3.78,3.82,3.76,3.79
2016-06-13,3.92,3.92,3.77,3.78
2016-06-08,3.98,4.0,3.94,3.95
2016-06-07,3.98,3.99,3.94,3.97
2016-06-06,3.99,4.01,3.95,3.97
2016-06-03,4.0,4.02,3.96,3.99
2016-06-02,4.0,4.02,3.96,3.99
2016-06-01,3.98,4.07,3.96,4.0
2016-05-31,3.83,4.01,3.81,3.99
2016-05-30,3.83,3.88,3.78,3.83
2016-05-27,3.86,3.87,3.79,3.83
2016-05-26,3.87,3.9,3.77,3.87
2016-05-25,3.94,3.97,3.86,3.87
2016-05-24,3.99,4.03,3.91,3.92
2016-05-23,4.06,4.19,4.05,4.06
2016-05-20,8.11,8.2,7.99,8.12
2016-05-19,8.22,8.28,8.12,8.16
2016-05-18,8.27,8.31,8.04,8.18
2016-05-17,8.13,8.44,8.07,8.34
2016-05-16,7.86,8.0,7.79,7.98
2016-05-13,7.88,7.94,7.78,7.89
2016-05-12,7.88,7.9,7.71,7.88
2016-05-11,8.09,8.12,7.94,7.96
2016-05-10,7.94,8.05,7.89,7.97
2016-05-09,8.17,8.18,7.86,7.91
2016-05-06,8.39,8.51,8.21,8.22
2016-05-05,8.3,8.45,8.25,8.4
2016-05-04,8.26,8.35,8.25,8.3
2016-05-03,8.12,8.33,8.11,8.32
2016-04-29,8.16,8.18,8.09,8.11
2016-04-28,8.11,8.23,8.07,8.16
2016-04-27,8.16,8.19,8.07,8.08
2016-04-26,8.06,8.21,8.06,8.18
2016-04-25,8.3,8.3,8.08,8.13
2016-04-22,8.0,8.11,7.95,8.11
2016-04-21,8.12,8.22,8.02,8.04
2016-04-20,8.65,8.69,8.0,8.15
2016-04-19,8.63,8.69,8.57,8.65
2016-04-18,8.68,8.7,8.57,8.59
2016-04-15,8.7,8.84,8.68,8.75
2016-04-14,8.7,8.71,8.62,8.7
2016-04-13,8.61,8.78,8.61,8.64
2016-04-12,8.7,8.71,8.49,8.58
2016-04-11,8.55,8.75,8.55,8.72
2016-04-08,8.47,8.58,8.41,8.5
2016-04-07,8.71,8.73,8.5,8.52
2016-04-06,8.68,8.73,8.58,8.71
2016-04-05,8.59,8.79,8.52,8.73
2016-04-01,8.46,8.66,8.41,8.61
2016-03-31,8.56,8.57,8.41,8.47
2016-03-30,8.3,8.57,8.13,8.53
2016-03-29,8.05,8.38,8.05,8.34
2016-03-28,8.06,8.12,7.88,8.01
2016-03-25,7.99,8.11,7.89,8.02
2016-03-24,8.13,8.22,8.01,8.04
2016-03-23,8.09,8.27,8.01,8.22
2016-03-22,8.17,8.2,8.06,8.12
2016-03-21,8.13,8.31,8.01,8.27
2016-03-18,7.92,8.09,7.86,8.07
2016-03-17,7.7,7.89,7.67,7.89
2016-03-16,7.84,7.94,7.64,7.68
2016-03-15,7.7,7.95,7.64,7.9
2016-03-14,7.55,7.82,7.52,7.68
2016-03-11,7.44,7.56,7.36,7.46
2016-03-10,7.61,7.8,7.45,7.5
2016-03-09,7.73,7.76,7.52,7.63
2016-03-08,7.99,8.02,7.58,7.95
2016-03-07,7.92,8.18,7.88,8.05
2016-03-04,8.15,8.29,7.77,7.87
2016-03-03,8.24,8.55,8.08,8.27
2016-03-02,7.88,8.37,7.79,8.32
2016-03-01,7.22,7.96,7.0,7.96
2016-02-29,7.88,7.98,7.24,7.24
2016-02-26,7.8,8.18,7.36,8.04
2016-02-25,7.6,8.26,7.55,7.75
2016-02-24,7.47,7.62,7.36,7.61
2016-02-23,7.59,7.63,7.31,7.48
2016-02-22,7.45,7.58,7.43,7.57
2016-02-19,7.37,7.45,7.31,7.37
2016-02-18,7.46,7.53,7.34,7.37
2016-02-17,7.25,7.45,7.14,7.42
2016-02-16,6.99,7.28,6.96,7.25
2016-02-15,6.83,6.99,6.75,6.95
2016-02-05,7.1,7.16,7.04,7.05
2016-02-04,6.96,7.17,6.92,7.08
2016-02-03,6.89,6.96,6.78,6.96
2016-02-02,6.76,6.98,6.72,6.95
2016-02-01,6.8,6.86,6.65,6.75
2016-01-29,6.66,6.9,6.59,6.88
2016-01-28,6.88,7.07,6.53,6.61
2016-01-27,7.1,7.19,6.6,6.91
2016-01-26,7.77,7.8,7.04,7.05
2016-01-25,7.76,7.92,7.76,7.81
2016-01-22,7.7,7.78,7.6,7.72
2016-01-21,7.77,7.96,7.6,7.63
2016-01-20,7.95,8.08,7.84,7.87
2016-01-19,7.73,8.01,7.68,7.96
2016-01-18,7.6,7.87,7.38,7.73
2016-01-15,8.12,8.13,7.67,7.68
2016-01-14,7.75,8.17,7.71,8.14
2016-01-13,8.35,8.44,7.9,8.0
2016-01-12,8.34,8.45,8.18,8.3
2016-01-11,8.72,8.92,8.19,8.2
2016-01-08,8.8,9.2,8.5,8.89
2016-01-07,9.32,9.32,8.46,8.48
2016-01-06,9.28,9.45,9.21,9.4
2016-01-05,8.9,9.45,8.85,9.26
2016-01-04,10.22,10.26,9.18,9.19
